ProductID,SKU,ProductName,Category,SubCategory,Brand,Color,Size,Fabric,SeasonalDemandTag,Gender,Price,CostPrice,SupplierID,ProductStatus,ImageURL,ProfitMargin
P0001,RAM-VESH-0001,Ramraj Cotton Veshti Purple Standard,Men,Veshti,Ramraj Cotton,Purple,Standard,Cotton,"Pongal, Temple Festival, Summer",Men,1380.0,896.0,SUP001,Active,images/products/P0001.jpg,35.07
P0002,UAT-LUNG-0002,Uathayam Lungi Red 4m,Men,Lungi,Uathayam,Red,4m,Cotton,"Summer, Aadi Sale",Men,440.0,351.0,SUP002,Active,images/products/P0002.jpg,20.23
P0003,BIB-KURT-0003,Biba Kurtas Black M,Women,Kurtas,Biba,Black,M,Silk,"Diwali, Temple Festival",Women,2020.0,1200.0,SUP003,Active,images/products/P0003.jpg,40.59
P0004,FAB-BEDC-0004,Fabindia Bed Covers Yellow King,Home & Lifestyle,Bed Covers,Fabindia,Yellow,King,Cotton,Summer,Unisex,1030.0,764.0,SUP004,Active,images/products/P0004.jpg,25.83
P0005,FAB-PILL-0005,Fabindia Pillow Covers Orange Single,Home & Lifestyle,Pillow Covers,Fabindia,Orange,Single,Cotton,All Season,Unisex,700.0,503.0,SUP005,Active,images/products/P0005.jpg,28.14
P0006,PRI-BABY-0006,Prisma Baby Dresses Gold 1-5 Years,Kids,Baby Dresses,Prisma,Gold,1-5 Years,Cotton,All Season,Kids,760.0,468.0,SUP006,Active,images/products/P0006.jpg,38.42
P0007,FAB-BEDS-0007,Fabindia Bedsheets Gold Single,Home & Lifestyle,Bedsheets,Fabindia,Gold,Single,Cotton,Summer,Unisex,600.0,344.0,SUP007,Active,images/products/P0007.jpg,42.67
P0008,BIB-SHRE-0008,Biba Shree Orange XL,Women,Shree,Biba,Orange,XL,Handloom,"Navratri, Wedding",Women,1600.0,1217.0,SUP008,Active,images/products/P0008.jpg,23.94
P0009,PRI-GIFT-0009,Prisma Gift Boxes CSK Yellow L,Kids,Gift Boxes,Prisma,CSK Yellow,L,Cotton,All Season,Kids,2360.0,1389.0,SUP009,Active,images/products/P0009.jpg,41.14
P0010,UAT-LUNG-0010,Uathayam Lungi Maroon 2m,Men,Lungi,Uathayam,Maroon,2m,Cotton,"Summer, Aadi Sale",Men,420.0,313.0,SUP010,Active,images/products/P0010.jpg,25.48
P0011,FAB-BEDC-0011,Fabindia Bed Covers RCB Red Double,Home & Lifestyle,Bed Covers,Fabindia,RCB Red,Double,Cotton,Summer,Unisex,1970.0,1464.0,SUP011,Active,images/products/P0011.jpg,25.69
P0012,WES-BABY-0012,Westside Baby Dresses Cream 1-5 Years,Kids,Baby Dresses,Westside,Cream,1-5 Years,Cotton,All Season,Kids,920.0,624.0,SUP012,Active,images/products/P0012.jpg,32.17
P0013,GUE-IPLJ-0013,Guess IPL Jerseys Black S,Accessories,IPL Jerseys,Guess,Black,S,Polyester,IPL Season,Unisex,2000.0,1379.0,SUP013,Active,images/products/P0013.jpg,31.05
P0014,RAM-POLI-0014,Ramraj Cotton Political Veshti Cream 4m,Men,Political Veshti,Ramraj Cotton,Cream,4m,Cotton,"Political Campaign, Independence Day",Men,1310.0,913.0,SUP014,Active,images/products/P0014.jpg,30.31
P0015,PRI-GIFT-0015,Prisma Gift Boxes Gold L,Kids,Gift Boxes,Prisma,Gold,L,Cotton,All Season,Kids,2410.0,1454.0,SUP015,Active,images/products/P0015.jpg,39.67
P0016,NET-PANT-0016,Netplay Pants Cream XS,Men,Pants,Netplay,Cream,XS,Polyester Blend,All Season,Men,890.0,590.0,SUP016,Active,images/products/P0016.jpg,33.71
P0017,UAT-TOWE-0017,Uathayam Towels Pink L,Accessories,Towels,Uathayam,Pink,L,Cotton,All Season,Unisex,300.0,226.0,SUP017,Active,images/products/P0017.jpg,24.67
P0018,PRI-TOWE-0018,Prisma Towels Black XL,Men,Towels,Prisma,Black,XL,Cotton,All Season,Men,360.0,282.0,SUP018,Active,images/products/P0018.jpg,21.67
P0019,PRI-GIFT-0019,Prisma Gift Boxes Green M,Kids,Gift Boxes,Prisma,Green,M,Cotton,All Season,Kids,1610.0,907.0,SUP019,Active,images/products/P0019.jpg,43.66
P0020,FAB-BEDC-0020,Fabindia Bed Covers White Single,Home & Lifestyle,Bed Covers,Fabindia,White,Single,Cotton,Summer,Unisex,2410.0,1352.0,SUP020,Active,images/products/P0020.jpg,43.9
P0021,NET-IPLJ-0021,Netplay IPL Jerseys Maroon XL,Accessories,IPL Jerseys,Netplay,Maroon,XL,Polyester,IPL Season,Unisex,1820.0,1094.0,SUP021,Active,images/products/P0021.jpg,39.89
P0022,FAB-PILL-0022,Fabindia Pillow Covers Black King,Home & Lifestyle,Pillow Covers,Fabindia,Black,King,Cotton,All Season,Unisex,370.0,203.0,SUP022,Active,images/products/P0022.jpg,45.14
P0023,FAB-CURT-0023,Fabindia Curtains Cream King,Home & Lifestyle,Curtains,Fabindia,Cream,King,Cotton,All Season,Unisex,1020.0,711.0,SUP023,Active,images/products/P0023.jpg,30.29
P0024,WES-FROC-0024,Westside Frocks CSK Yellow S,Women,Frocks,Westside,CSK Yellow,S,Polyester Blend,"Christmas, New Year",Women,2320.0,1742.0,SUP024,Active,images/products/P0024.jpg,24.91
P0025,NET-SOCK-0025,Netplay Socks RCB Red S,Accessories,Socks,Netplay,RCB Red,S,Cotton,"School Season, Winter",Unisex,90.0,69.0,SUP025,Active,images/products/P0025.jpg,23.33
P0026,PRI-RAIN-0026,Prisma Raincoats Gold XXL,Accessories,Raincoats,Prisma,Gold,XXL,Polyester,Monsoon,Unisex,920.0,557.0,SUP001,Active,images/products/P0026.jpg,39.46
P0027,PRI-RAIN-0027,Prisma Raincoats Gold XL,Accessories,Raincoats,Prisma,Gold,XL,Polyester,Monsoon,Unisex,640.0,378.0,SUP002,Active,images/products/P0027.jpg,40.94
P0028,FAB-PILL-0028,Fabindia Pillow Covers Yellow Single,Home & Lifestyle,Pillow Covers,Fabindia,Yellow,Single,Cotton,All Season,Unisex,530.0,320.0,SUP003,Active,images/products/P0028.jpg,39.62
P0029,UAT-VESH-0029,Uathayam Veshti Yellow Standard,Men,Veshti,Uathayam,Yellow,Standard,Cotton,"Pongal, Temple Festival, Summer",Men,2040.0,1314.0,SUP004,Active,images/products/P0029.jpg,35.59
P0030,FAB-KURT-0030,Fabindia Kurtas CSK Yellow M,Women,Kurtas,Fabindia,CSK Yellow,M,Silk,"Diwali, Temple Festival",Women,1590.0,1199.0,SUP005,Active,images/products/P0030.jpg,24.59
P0031,FAB-PUTT-0031,Fabindia Puttu Vasti Black L,Women,Puttu Vasti,Fabindia,Black,L,Silk,Wedding,Women,24730.0,18960.0,SUP006,Active,images/products/P0031.jpg,23.33
P0032,KAN-SARE-0032,Kanchipuram Handloom Sarees Maroon 4m,Women,Sarees,Kanchipuram Handloom,Maroon,4m,Handloom,"Wedding, Diwali, Navratri",Women,7950.0,6329.0,SUP007,Active,images/products/P0032.jpg,20.39
P0033,PRI-TOWE-0033,Prisma Towels Gold M,Men,Towels,Prisma,Gold,M,Cotton,All Season,Men,270.0,149.0,SUP008,Active,images/products/P0033.jpg,44.81
P0034,PRI-GIFT-0034,Prisma Gift Boxes Black S,Kids,Gift Boxes,Prisma,Black,S,Cotton,All Season,Kids,1710.0,1332.0,SUP009,Active,images/products/P0034.jpg,22.11
P0035,FAB-KURT-0035,Fabindia Kurtas Gold S,Women,Kurtas,Fabindia,Gold,S,Cotton,"Diwali, Temple Festival",Women,2290.0,1708.0,SUP010,Active,images/products/P0035.jpg,25.41
P0036,UAT-TOWE-0036,Uathayam Towels Pink XS,Men,Towels,Uathayam,Pink,XS,Cotton,All Season,Men,430.0,311.0,SUP011,Active,images/products/P0036.jpg,27.67
P0037,KAN-SARE-0037,Kanchipuram Handloom Sarees Blue Standard,Women,Sarees,Kanchipuram Handloom,Blue,Standard,Handloom,"Wedding, Diwali, Navratri",Women,12000.0,8412.0,SUP012,Active,images/products/P0037.jpg,29.9
P0038,FAB-PILL-0038,Fabindia Pillow Covers Red King,Home & Lifestyle,Pillow Covers,Fabindia,Red,King,Cotton,All Season,Unisex,350.0,220.0,SUP013,Active,images/products/P0038.jpg,37.14
P0039,NET-IPLJ-0039,Netplay IPL Jerseys Orange S,Accessories,IPL Jerseys,Netplay,Orange,S,Polyester,IPL Season,Unisex,1930.0,1450.0,SUP014,Active,images/products/P0039.jpg,24.87
P0040,BIB-KURT-0040,Biba Kurtas MI Blue XS,Women,Kurtas,Biba,MI Blue,XS,Cotton,"Diwali, Temple Festival",Women,1700.0,1305.0,SUP015,Active,images/products/P0040.jpg,23.24
P0041,UAT-LUNG-0041,Uathayam Lungi Black 4m,Men,Lungi,Uathayam,Black,4m,Cotton,"Summer, Aadi Sale",Men,450.0,320.0,SUP016,Active,images/products/P0041.jpg,28.89
P0042,FAB-BEDC-0042,Fabindia Bed Covers Yellow Double,Home & Lifestyle,Bed Covers,Fabindia,Yellow,Double,Cotton,Summer,Unisex,2340.0,1516.0,SUP017,Active,images/products/P0042.jpg,35.21
P0043,BIB-SARE-0043,Biba Sarees Cream 4m,Women,Sarees,Biba,Cream,4m,Silk,"Wedding, Diwali, Navratri",Women,7890.0,4826.0,SUP018,Active,images/products/P0043.jpg,38.83
P0044,KAN-PUTT-0044,Kanchipuram Handloom Puttu Vasti Red L,Women,Puttu Vasti,Kanchipuram Handloom,Red,L,Silk,Wedding,Women,22410.0,15943.0,SUP019,Active,images/products/P0044.jpg,28.86
P0045,FAB-CURT-0045,Fabindia Curtains Maroon Single,Home & Lifestyle,Curtains,Fabindia,Maroon,Single,Polyester,All Season,Unisex,1390.0,866.0,SUP020,Active,images/products/P0045.jpg,37.7
P0046,PRI-SCHO-0046,Prisma School Uniforms Maroon XL,Kids,School Uniforms,Prisma,Maroon,XL,Polyester Blend,"School Season, Monsoon",Kids,580.0,395.0,SUP021,Active,images/products/P0046.jpg,31.9
P0047,PRI-UMBR-0047,Prisma Umbrellas Green L,Accessories,Umbrellas,Prisma,Green,L,Polyester,Monsoon,Unisex,650.0,388.0,SUP022,Active,images/products/P0047.jpg,40.31
P0048,WES-BABY-0048,Westside Baby Dresses Orange 3-6 Months,Kids,Baby Dresses,Westside,Orange,3-6 Months,Cotton,All Season,Kids,1020.0,806.0,SUP023,Active,images/products/P0048.jpg,20.98
P0049,PRI-BABY-0049,Prisma Baby Dresses RCB Red 6-12 Years,Kids,Baby Dresses,Prisma,RCB Red,6-12 Years,Cotton,All Season,Kids,1100.0,693.0,SUP024,Active,images/products/P0049.jpg,37.0
P0050,NET-IPLJ-0050,Netplay IPL Jerseys Gold XS,Accessories,IPL Jerseys,Netplay,Gold,XS,Polyester,IPL Season,Unisex,880.0,514.0,SUP025,Active,images/products/P0050.jpg,41.59
P0051,FAB-BEDS-0051,Fabindia Bedsheets Yellow Double,Home & Lifestyle,Bedsheets,Fabindia,Yellow,Double,Cotton,Summer,Unisex,960.0,560.0,SUP001,Active,images/products/P0051.jpg,41.67
P0052,RAM-TOWE-0052,Ramraj Cotton Towels White XS,Accessories,Towels,Ramraj Cotton,White,XS,Cotton,All Season,Unisex,180.0,115.0,SUP002,Active,images/products/P0052.jpg,36.11
P0053,GUE-BELT-0053,Guess Belts Red XS,Accessories,Belts,Guess,Red,XS,Leather,All Season,Unisex,620.0,419.0,SUP003,Active,images/products/P0053.jpg,32.42
P0054,BIB-SARE-0054,Biba Sarees Green Standard,Women,Sarees,Biba,Green,Standard,Handloom,"Wedding, Diwali, Navratri",Women,8800.0,4952.0,SUP004,Active,images/products/P0054.jpg,43.73
P0055,RAY-SHIR-0055,Raymond Shirts Gold XS,Men,Shirts,Raymond,Gold,XS,Linen,"Summer, Independence Day, Republic Day",Men,970.0,749.0,SUP005,Active,images/products/P0055.jpg,22.78
P0056,WES-FROC-0056,Westside Frocks CSK Yellow S,Women,Frocks,Westside,CSK Yellow,S,Polyester Blend,"Christmas, New Year",Women,1920.0,1378.0,SUP006,Active,images/products/P0056.jpg,28.23
P0057,PRI-SCHO-0057,Prisma School Uniforms CSK Yellow XL,Kids,School Uniforms,Prisma,CSK Yellow,XL,Polyester Blend,"School Season, Monsoon",Kids,970.0,772.0,SUP007,Active,images/products/P0057.jpg,20.41
P0058,FAB-CURT-0058,Fabindia Curtains CSK Yellow Single,Home & Lifestyle,Curtains,Fabindia,CSK Yellow,Single,Polyester,All Season,Unisex,2090.0,1334.0,SUP008,Active,images/products/P0058.jpg,36.17
P0059,RAM-TOWE-0059,Ramraj Cotton Towels Green XL,Men,Towels,Ramraj Cotton,Green,XL,Cotton,All Season,Men,290.0,207.0,SUP009,Active,images/products/P0059.jpg,28.62
P0060,PRI-SOCK-0060,Prisma Socks Gold XXL,Accessories,Socks,Prisma,Gold,XXL,Cotton,"School Season, Winter",Unisex,60.0,34.0,SUP010,Active,images/products/P0060.jpg,43.33
P0061,UAT-VESH-0061,Uathayam Veshti Gold 4m,Men,Veshti,Uathayam,Gold,4m,Cotton,"Pongal, Temple Festival, Summer",Men,790.0,534.0,SUP011,Active,images/products/P0061.jpg,32.41
P0062,FAB-BEDC-0062,Fabindia Bed Covers Yellow King,Home & Lifestyle,Bed Covers,Fabindia,Yellow,King,Cotton,Summer,Unisex,2030.0,1584.0,SUP012,Active,images/products/P0062.jpg,21.97
P0063,NET-SOCK-0063,Netplay Socks CSK Yellow L,Accessories,Socks,Netplay,CSK Yellow,L,Cotton,"School Season, Winter",Unisex,120.0,79.0,SUP013,Active,images/products/P0063.jpg,34.17
