ProductID,Warehouse,CurrentStock,MinimumStock,MaximumStock,SafetyStock,ReorderPoint,LeadTimeDays,SupplierID,LastRestocked,InventoryStatus,StockUtilisation,DaysSinceRestock
P0001,Chennai WH,68,16,218,18,34,4,SUP002,2025-12-05,Healthy,31.19,227
P0002,Chennai WH,218,32,226,27,59,8,SUP006,2025-11-02,Healthy,96.46,260
P0003,Chennai WH,41,25,194,27,52,8,SUP014,2025-10-15,Reorder Required,21.13,278
P0004,Madurai WH,80,34,137,22,56,4,SUP015,2025-10-15,Healthy,58.39,278
P0005,Coimbatore WH,5,16,140,12,28,5,SUP014,2025-12-18,Reorder Required,3.57,214
P0006,Coimbatore WH,78,30,137,18,48,10,SUP017,2025-12-05,Healthy,56.93,227
P0007,Madurai WH,101,21,133,29,50,8,SUP017,2025-12-05,Healthy,75.94,227
P0008,Coimbatore WH,214,36,276,27,63,10,SUP017,2025-10-15,Healthy,77.54,278
P0009,Madurai WH,124,39,170,30,69,5,SUP009,2025-11-02,Healthy,72.94,260
P0010,Coimbatore WH,116,25,143,20,45,9,SUP019,2025-11-20,Healthy,81.12,242
P0011,Chennai WH,186,15,271,16,31,4,SUP012,2025-11-02,Healthy,68.63,260
P0012,Coimbatore WH,147,27,297,27,54,3,SUP025,2025-11-02,Healthy,49.49,260
P0013,Coimbatore WH,137,32,176,25,57,5,SUP013,2025-12-05,Healthy,77.84,227
P0014,Chennai WH,49,16,222,10,26,5,SUP009,2025-11-20,Healthy,22.07,242
P0015,Chennai WH,215,36,296,18,54,9,SUP004,2025-12-18,Healthy,72.64,214
P0016,Coimbatore WH,21,17,145,26,43,8,SUP001,2025-12-18,Reorder Required,14.48,214
P0017,Coimbatore WH,126,27,126,12,39,9,SUP009,2025-12-05,Healthy,100.0,227
P0018,Chennai WH,89,16,229,27,43,8,SUP021,2025-11-02,Healthy,38.86,260
P0019,Chennai WH,171,28,215,12,40,5,SUP024,2025-10-15,Healthy,79.53,278
P0020,Chennai WH,156,35,263,11,46,9,SUP021,2025-11-20,Healthy,59.32,242
P0021,Coimbatore WH,136,39,173,22,61,8,SUP017,2025-10-15,Healthy,78.61,278
P0022,Madurai WH,15,35,240,15,50,9,SUP005,2025-12-05,Reorder Required,6.25,227
P0023,Madurai WH,222,36,241,10,46,8,SUP024,2025-12-05,Healthy,92.12,227
P0024,Coimbatore WH,133,24,167,23,47,3,SUP017,2025-12-18,Healthy,79.64,214
P0025,Madurai WH,26,32,254,14,46,8,SUP024,2025-11-20,Reorder Required,10.24,242
P0026,Madurai WH,69,22,153,28,50,8,SUP008,2025-11-02,Healthy,45.1,260
P0027,Chennai WH,128,25,134,18,43,9,SUP007,2025-12-18,Healthy,95.52,214
P0028,Chennai WH,144,21,179,10,31,6,SUP003,2025-12-18,Healthy,80.45,214
P0029,Madurai WH,68,25,258,12,37,8,SUP005,2025-12-05,Healthy,26.36,227
P0030,Madurai WH,182,30,197,22,52,3,SUP016,2025-11-20,Healthy,92.39,242
P0031,Madurai WH,3,27,280,17,44,5,SUP020,2025-12-05,Reorder Required,1.07,227
P0032,Coimbatore WH,92,25,146,28,53,4,SUP012,2025-12-05,Healthy,63.01,227
P0033,Chennai WH,87,25,240,21,46,6,SUP006,2025-12-05,Healthy,36.25,227
P0034,Coimbatore WH,128,40,227,11,51,9,SUP006,2025-12-18,Healthy,56.39,214
P0035,Coimbatore WH,31,27,203,21,48,4,SUP017,2025-12-18,Reorder Required,15.27,214
P0036,Coimbatore WH,99,25,129,11,36,9,SUP004,2025-12-05,Healthy,76.74,227
P0037,Coimbatore WH,228,33,298,20,53,6,SUP015,2025-12-18,Healthy,76.51,214
P0038,Madurai WH,128,33,250,21,54,6,SUP009,2025-11-20,Healthy,51.2,242
P0039,Madurai WH,54,16,116,15,31,4,SUP016,2025-11-02,Healthy,46.55,260
P0040,Coimbatore WH,72,30,257,27,57,3,SUP012,2025-11-02,Healthy,28.02,260
P0041,Madurai WH,230,34,254,11,45,10,SUP025,2025-11-20,Healthy,90.55,242
P0042,Coimbatore WH,186,37,227,28,65,3,SUP008,2025-10-15,Healthy,81.94,278
P0043,Coimbatore WH,91,23,228,19,42,5,SUP002,2025-12-18,Healthy,39.91,214
P0044,Coimbatore WH,11,15,170,25,40,5,SUP017,2025-11-02,Reorder Required,6.47,260
P0045,Coimbatore WH,127,39,222,26,65,6,SUP008,2025-11-20,Healthy,57.21,242
P0046,Madurai WH,156,31,236,12,43,4,SUP018,2025-11-20,Healthy,66.1,242
P0047,Coimbatore WH,200,40,298,16,56,4,SUP015,2025-10-15,Healthy,67.11,278
P0048,Madurai WH,223,16,291,28,44,9,SUP012,2025-11-02,Healthy,76.63,260
P0049,Chennai WH,61,30,178,14,44,6,SUP008,2025-11-02,Healthy,34.27,260
P0050,Madurai WH,52,17,121,22,39,3,SUP011,2025-12-18,Healthy,42.98,214
P0051,Coimbatore WH,178,15,217,11,26,6,SUP006,2025-11-20,Healthy,82.03,242
P0052,Chennai WH,131,18,171,19,37,8,SUP024,2025-11-20,Healthy,76.61,242
P0053,Chennai WH,106,40,191,14,54,10,SUP017,2025-12-05,Healthy,55.5,227
P0054,Coimbatore WH,19,27,233,27,54,6,SUP002,2025-11-20,Reorder Required,8.15,242
P0055,Coimbatore WH,31,19,156,25,44,4,SUP012,2025-12-18,Reorder Required,19.87,214
P0056,Coimbatore WH,180,34,257,10,44,10,SUP012,2025-11-02,Healthy,70.04,260
P0057,Chennai WH,212,27,248,11,38,4,SUP019,2025-11-20,Healthy,85.48,242
P0058,Coimbatore WH,46,38,228,12,50,6,SUP005,2025-12-05,Reorder Required,20.18,227
P0059,Chennai WH,84,19,131,10,29,5,SUP004,2025-11-02,Healthy,64.12,260
P0060,Coimbatore WH,169,22,177,24,46,9,SUP002,2025-10-15,Healthy,95.48,278
P0061,Madurai WH,34,19,135,13,32,10,SUP002,2025-11-20,Healthy,25.19,242
P0062,Coimbatore WH,110,29,185,16,45,6,SUP022,2025-11-02,Healthy,59.46,260
P0063,Coimbatore WH,171,17,190,10,27,7,SUP012,2025-11-02,Healthy,90.0,260
P0064,Coimbatore WH,63,16,135,11,27,4,SUP008,2025-11-02,Healthy,46.67,260
P0065,Coimbatore WH,142,32,229,10,42,7,SUP012,2025-11-02,Healthy,62.01,260
P0066,Madurai WH,80,28,208,11,39,7,SUP001,2025-11-20,Healthy,38.46,242
P0067,Madurai WH,96,31,141,10,41,7,SUP006,2025-12-18,Healthy,68.09,214
P0068,Chennai WH,273,25,281,24,49,4,SUP013,2025-10-15,Healthy,97.15,278
P0069,Coimbatore WH,199,21,226,16,37,8,SUP010,2025-12-18,Healthy,88.05,214
P0070,Madurai WH,66,32,133,15,47,9,SUP001,2025-11-02,Healthy,49.62,260
P0071,Chennai WH,25,39,182,16,55,8,SUP023,2025-12-18,Reorder Required,13.74,214
P0072,Chennai WH,92,18,134,18,36,4,SUP009,2025-11-20,Healthy,68.66,242
P0073,Madurai WH,66,19,140,18,37,9,SUP018,2025-10-15,Healthy,47.14,278
P0074,Madurai WH,73,36,227,27,63,4,SUP025,2025-11-20,Healthy,32.16,242
P0075,Madurai WH,28,29,149,17,46,3,SUP004,2025-12-05,Reorder Required,18.79,227
P0076,Chennai WH,99,27,161,21,48,5,SUP014,2025-11-02,Healthy,61.49,260
P0077,Chennai WH,21,22,145,10,32,9,SUP018,2025-11-20,Reorder Required,14.48,242
P0078,Chennai WH,16,28,201,15,43,9,SUP004,2025-12-18,Reorder Required,7.96,214
P0079,Madurai WH,278,27,288,18,45,3,SUP007,2025-11-20,Healthy,96.53,242
P0080,Coimbatore WH,37,24,138,29,53,8,SUP010,2025-11-02,Reorder Required,26.81,260
P0081,Chennai WH,108,28,135,16,44,10,SUP005,2025-11-02,Healthy,80.0,260
P0082,Madurai WH,114,36,143,11,47,6,SUP007,2025-12-05,Healthy,79.72,227
P0083,Chennai WH,55,33,155,23,56,8,SUP015,2025-10-15,Reorder Required,35.48,278
P0084,Chennai WH,172,32,184,19,51,3,SUP005,2025-12-18,Healthy,93.48,214
P0085,Coimbatore WH,157,18,229,11,29,9,SUP011,2025-11-02,Healthy,68.56,260
P0086,Chennai WH,53,35,305,22,57,9,SUP002,2025-11-02,Reorder Required,17.38,260
P0087,Coimbatore WH,298,19,298,30,49,5,SUP012,2025-12-18,Healthy,100.0,214
P0088,Chennai WH,216,28,231,18,46,7,SUP018,2025-12-18,Healthy,93.51,214
P0089,Madurai WH,36,36,143,27,63,4,SUP025,2025-12-18,Reorder Required,25.17,214
P0090,Madurai WH,126,36,261,29,65,4,SUP018,2025-12-05,Healthy,48.28,227
P0091,Madurai WH,95,15,235,21,36,7,SUP024,2025-11-20,Healthy,40.43,242
P0092,Chennai WH,43,32,190,28,60,8,SUP012,2025-10-15,Reorder Required,22.63,278
P0093,Coimbatore WH,193,33,221,13,46,10,SUP022,2025-11-02,Healthy,87.33,260
P0094,Coimbatore WH,146,18,186,29,47,4,SUP005,2025-12-18,Healthy,78.49,214
P0095,Madurai WH,118,36,263,13,49,10,SUP017,2025-12-05,Healthy,44.87,227
P0096,Coimbatore WH,136,25,291,20,45,9,SUP022,2025-12-05,Healthy,46.74,227
P0097,Coimbatore WH,36,20,130,17,37,4,SUP002,2025-11-02,Reorder Required,27.69,260
P0098,Chennai WH,190,19,231,30,49,5,SUP025,2025-12-18,Healthy,82.25,214
P0099,Madurai WH,128,22,252,26,48,5,SUP001,2025-12-05,Healthy,50.79,227
P0100,Coimbatore WH,163,19,246,18,37,8,SUP008,2025-10-15,Healthy,66.26,278
P0101,Madurai WH,12,28,214,25,53,9,SUP014,2025-12-05,Reorder Required,5.61,227
P0102,Chennai WH,118,37,242,12,49,8,SUP004,2025-10-15,Healthy,48.76,278
P0103,Chennai WH,199,37,220,21,58,8,SUP023,2025-12-18,Healthy,90.45,214
P0104,Madurai WH,174,37,294,27,64,10,SUP008,2025-10-15,Healthy,59.18,278
P0105,Coimbatore WH,120,20,165,14,34,10,SUP021,2025-10-15,Healthy,72.73,278
P0106,Madurai WH,91,26,204,30,56,5,SUP010,2025-10-15,Healthy,44.61,278
P0107,Chennai WH,142,26,152,16,42,3,SUP017,2025-10-15,Healthy,93.42,278
P0108,Coimbatore WH,180,34,241,25,59,9,SUP003,2025-11-02,Healthy,74.69,260
P0109,Coimbatore WH,178,20,205,21,41,6,SUP024,2025-12-05,Healthy,86.83,227
P0110,Coimbatore WH,130,18,211,22,40,4,SUP004,2025-11-02,Healthy,61.61,260
P0111,Chennai WH,44,23,209,12,35,4,SUP003,2025-10-15,Healthy,21.05,278
P0112,Coimbatore WH,243,28,249,30,58,10,SUP023,2025-10-15,Healthy,97.59,278
P0113,Coimbatore WH,129,28,195,11,39,4,SUP013,2025-11-20,Healthy,66.15,242
P0114,Chennai WH,155,26,212,21,47,4,SUP004,2025-10-15,Healthy,73.11,278
P0115,Coimbatore WH,52,29,139,22,51,8,SUP011,2025-11-20,Healthy,37.41,242
P0116,Madurai WH,57,19,211,20,39,10,SUP025,2025-10-15,Healthy,27.01,278
P0117,Chennai WH,84,34,192,25,59,5,SUP023,2025-12-05,Healthy,43.75,227
P0118,Coimbatore WH,50,32,170,17,49,7,SUP016,2025-11-20,Healthy,29.41,242
P0119,Coimbatore WH,138,30,258,30,60,10,SUP024,2025-11-20,Healthy,53.49,242
P0120,Madurai WH,25,17,246,30,47,9,SUP011,2025-12-05,Reorder Required,10.16,227
P0121,Chennai WH,198,33,200,28,61,5,SUP006,2025-12-05,Healthy,99.0,227
P0122,Madurai WH,139,40,302,26,66,10,SUP008,2025-11-20,Healthy,46.03,242
P0123,Madurai WH,206,20,232,26,46,6,SUP003,2025-12-18,Healthy,88.79,214
P0124,Madurai WH,119,27,228,27,54,4,SUP021,2025-11-02,Healthy,52.19,260
P0125,Coimbatore WH,77,20,156,21,41,5,SUP005,2025-11-02,Healthy,49.36,260
P0126,Coimbatore WH,100,29,283,18,47,6,SUP007,2025-12-18,Healthy,35.34,214
P0127,Coimbatore WH,156,34,174,11,45,7,SUP001,2025-11-02,Healthy,89.66,260
P0128,Chennai WH,10,20,203,20,40,5,SUP008,2025-10-15,Reorder Required,4.93,278
P0129,Coimbatore WH,118,26,166,16,42,4,SUP006,2025-10-15,Healthy,71.08,278
P0130,Madurai WH,121,32,293,26,58,3,SUP004,2025-12-05,Healthy,41.3,227
P0131,Chennai WH,115,19,159,17,36,7,SUP019,2025-11-20,Healthy,72.33,242
P0132,Coimbatore WH,249,38,297,22,60,3,SUP014,2025-12-05,Healthy,83.84,227
P0133,Chennai WH,73,38,292,29,67,5,SUP008,2025-11-20,Healthy,25.0,242
P0134,Chennai WH,101,38,292,24,62,5,SUP017,2025-11-02,Healthy,34.59,260
P0135,Madurai WH,77,22,151,25,47,4,SUP006,2025-10-15,Healthy,50.99,278
P0136,Madurai WH,141,30,199,30,60,9,SUP008,2025-12-18,Healthy,70.85,214
P0137,Coimbatore WH,143,28,184,12,40,7,SUP009,2025-11-02,Healthy,77.72,260
P0138,Madurai WH,2,19,176,29,48,6,SUP023,2025-10-15,Reorder Required,1.14,278
P0139,Chennai WH,36,28,258,26,54,7,SUP015,2025-11-20,Reorder Required,13.95,242
P0140,Chennai WH,158,31,262,12,43,9,SUP025,2025-12-05,Healthy,60.31,227
P0141,Chennai WH,85,35,192,10,45,5,SUP015,2025-12-05,Healthy,44.27,227
P0142,Coimbatore WH,89,24,239,13,37,10,SUP004,2025-11-02,Healthy,37.24,260
P0143,Chennai WH,269,26,270,18,44,7,SUP004,2025-10-15,Healthy,99.63,278
P0144,Coimbatore WH,114,35,251,21,56,8,SUP005,2025-11-02,Healthy,45.42,260
