ProductID,ProductName,Category,Warehouse,CurrentStock,SafetyStock,ReorderPoint,SuggestedPurchaseQuantity,RiskLevel
P0411,Prisma Socks MI Blue XL,Accessories,Coimbatore WH,0,19,47,266,Critical
P0170,Netplay Shirts RCB Red XS,Men,Chennai WH,1,22,53,180,Critical
P0448,Kanchipuram Handloom Sarees Yellow Standard,Women,Madurai WH,1,15,47,215,Critical
P0138,Prisma Shirts Blue XL,Men,Madurai WH,2,29,48,174,Critical
P0363,Westside Baby Dresses Pink 6-12 Years,Kids,Madurai WH,2,17,47,237,Critical
P0372,Prisma Pants CSK Yellow L,Men,Chennai WH,2,14,34,255,Critical
P0147,Fabindia Bedsheets Yellow Single,Home & Lifestyle,Madurai WH,2,22,61,305,Critical
P0277,Fabindia Curtains Orange King,Home & Lifestyle,Coimbatore WH,2,10,47,238,Critical
P0031,Fabindia Puttu Vasti Black L,Women,Madurai WH,3,17,44,277,Critical
P0373,Westside Baby Dresses Cream 0-3 Months,Kids,Madurai WH,3,22,54,153,Critical
P0397,Raymond Shirts Red L,Men,Chennai WH,3,10,48,221,Critical
P0430,Guess Dresses Green XXL,Women,Chennai WH,4,27,43,198,Critical
P0005,Fabindia Pillow Covers Orange Single,Home & Lifestyle,Coimbatore WH,5,12,28,135,Critical
P0162,Prisma Umbrellas Yellow XL,Accessories,Coimbatore WH,5,13,39,128,Critical
P0321,Prisma Raincoats Black M,Accessories,Madurai WH,6,25,60,282,Critical
P0299,Prisma School Uniforms White XXL,Kids,Madurai WH,6,18,51,138,Critical
P0441,Biba Sarees RCB Red 9 Yards,Women,Madurai WH,6,26,60,251,Critical
P0455,Uathayam Political Veshti Black 9 Yards,Men,Chennai WH,6,29,45,257,Critical
P0488,Westside Baby Dresses Red 1-5 Years,Kids,Coimbatore WH,7,12,36,142,Critical
P0322,Prisma Gift Boxes Cream S,Kids,Chennai WH,7,23,56,217,Critical
P0360,Fabindia Bed Covers Maroon King,Home & Lifestyle,Chennai WH,8,30,70,143,Critical
P0194,Fabindia Bedsheets Purple Double,Home & Lifestyle,Madurai WH,9,20,44,255,Critical
P0355,Prisma Towels White XL,Accessories,Coimbatore WH,9,11,39,117,Critical
P0175,Guess IPL Jerseys MI Blue XL,Accessories,Madurai WH,9,13,53,251,Critical
P0128,Netplay Socks Red L,Accessories,Chennai WH,10,20,40,193,Critical
P0347,Prisma Umbrellas CSK Yellow L,Accessories,Chennai WH,11,16,45,249,Critical
P0342,Prisma School Uniforms Green S,Kids,Coimbatore WH,11,21,51,147,Critical
P0044,Kanchipuram Handloom Puttu Vasti Red L,Women,Coimbatore WH,11,25,40,159,Critical
P0101,Prisma Baby Dresses Cream 3-6 Months,Kids,Madurai WH,12,25,53,202,Critical
P0264,Biba Shree CSK Yellow L,Women,Chennai WH,12,10,27,170,High
P0244,Fabindia Kurtas CSK Yellow L,Women,Chennai WH,13,23,54,134,Critical
P0356,Fabindia Shree Purple M,Women,Madurai WH,13,15,34,199,Critical
P0349,Guess Belts Red M,Accessories,Madurai WH,14,17,33,202,Critical
P0022,Fabindia Pillow Covers Black King,Home & Lifestyle,Madurai WH,15,15,50,225,Critical
P0281,Netplay Socks White S,Accessories,Madurai WH,15,16,55,272,Critical
P0078,Prisma School Uniforms Maroon M,Kids,Chennai WH,16,15,43,185,High
