SupplierID,TotalItemsToOrder,TotalOrderUnits,TotalPurchaseOrderCost
SUP006,6,1293,5776810
SUP021,5,923,4471970
SUP019,7,1133,3294879
SUP002,5,778,2324682
SUP005,10,1712,2114293
SUP016,6,1100,1836094
SUP004,4,571,1266703
SUP025,7,1311,1233204
SUP022,9,1826,1095250
SUP023,6,1201,910775
SUP013,5,917,888210
SUP010,3,587,862633
SUP008,4,577,808754
SUP003,5,851,805341
SUP001,5,912,663451
SUP020,4,826,597097
SUP015,3,469,564644
SUP012,4,678,462793
SUP017,4,626,359639
SUP014,5,879,357284
SUP011,5,978,247716
SUP007,2,307,222856
SUP024,3,535,216556
SUP018,1,210,141330
SUP009,0,0,0
